acte_classant,Classification
JANE005,Urologie
DELF005,Cardiologie ; Chirurgie vasculaire
CBPA002,Cardiologie
HMFC004,Gynécologie-obstétrique
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
HNFA007,Chirurgie digestive
LAFA019,ORL et chirurgie cervico-faciale
QZFA036,Ophtalmologie
NBCA008,Chirurgie orthopédique et traumatologique
JJFJ001,Gynécologie-Obstétrique ; Radiologie
JLCA009,Gynécologie-Obstétrique
HHCA001,Chirurgie digestive
EBFA016,Chirurgie vasculaire
ZCJA004,Chirurgie générale
LMMA004,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
EGFA002,Chirurgie digestive
QZFA035,Ophtalmologie
DELF014,Cardiologie ; Chirurgie vasculaire
HHQE005,Chirurgie digestive ; Gastroentérologie
NFKA007,Chirurgie orthopédique et traumatologique
LHMA011,Chirurgie digestive ; Chirurgie du rachis
LMSA002,Chirurgie digestive
HHEE001,Chirurgie digestive ; Gastroentérologie
HMFC004,Gynécologie-obstétrique
JDFE002,Urologie
HCFA008,ORL et chirurgie cervico-faciale
QEFA008,Oto-rhino-laryngologie (ORL)
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
GFFC002,Chirurgie thoracique ; Pneumologie
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
HMFC004,Gynécologie-obstétrique
JGFE023,Urologie
NBCA007,Chirurgie orthopédique et traumatologique
HHFA016,Chirurgie digestive
GHFA001,Chirurgie thoracique
HNFA007,Chirurgie digestive
FCFA009,Chirurgie thoracique
FCFA009,Chirurgie thoracique
QEFA020,Oto-rhino-laryngologie (ORL)
JGFE023,Urologie
JANE002,Urologie
JGFE365,Urologie
HMFC004,Gynécologie-obstétrique
NBCA006,Chirurgie orthopédique et traumatologique
JJJC001,Chirurgie orthopédique et traumatologique
MBCA005,Chirurgie orthopédique et traumatologique
FAFA014,ORL et chirurgie cervico-faciale
LDFA008,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
JKFA027,Chirurgie digestive ; Gynécologie-Obstétrique
HHFA025,Chirurgie digestive
HMFC004,Gynécologie-obstétrique
HMFC004,Gynécologie-obstétrique
JCGE006,Urologie
FCFA029,Chirurgie digestive
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JJFC010,Gynécologie-Obstétrique
JCPD001,Urologie
HKPA007,Chirurgie digestive
MEKA008,Chirurgie orthopédique et traumatologique ; Urologie
JKFC001,Gynécologie-Obstétrique
DELF005,Cardiologie ; Chirurgie vasculaire
JDDB005,Gynécologie-Obstétrique
QEFA012,Oto-rhino-laryngologie (ORL)
HDFA002,ORL et chirurgie cervico-faciale
QEFA008,Oto-rhino-laryngologie (ORL)
QEMA004,Oto-rhino-laryngologie (ORL)
JDFE001,Urologie
DCMA001,Chirurgie de la main
HPPC003,Chirurgie digestive
JJFC010,Gynécologie-Obstétrique
JDFE001,Urologie
JKFC002,Chirurgie digestive ; Gynécologie-Obstétrique
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
BFGA427,Ophtalmologie
QBFA006,Chirurgie thoracique et cardiovasculaire
EZSA004,Chirurgie digestive
JCGE006,Urologie
NCCA005,Chirurgie orthopédique et traumatologique
HGCC031,Chirurgie digestive
FCFC005,Chirurgie générale
FCFA009,Chirurgie thoracique
KCFA008,Chirurgie endocrinienne
HHFA016,Chirurgie digestive
HHFA025,Chirurgie digestive
MCPA013,Chirurgie orthopédique et traumatologique
JEFA003,Chirurgie digestive
JCGE006,Urologie
JDFE003,Urologie
JGFE023,Urologie
MJJA004,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
JDFE002,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
NFMC003,Chirurgie orthopédique et traumatologique
NJPA018,Chirurgie orthopédique et traumatologique
JJFC010,Gynécologie-Obstétrique
MCCA005,Chirurgie orthopédique et traumatologique
JGFE023,Urologie
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
QEKA001,Oto-rhino-laryngologie (ORL)
LFFA002,Chirurgie digestive ; Chirurgie du rachis
PAGA009,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
HHFA016,Chirurgie digestive
NBCA007,Chirurgie orthopédique et traumatologique
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
QZMA001,Ophtalmologie
JAGF001,Urologie
QEFA020,Oto-rhino-laryngologie (ORL)
HFFC018,Chirurgie digestive
JDFE001,Urologie
JKFA022,Gynécologie-Obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JEFA002,Chirurgie digestive
MCCA005,Chirurgie orthopédique et traumatologique
JJFA005,Urologie
LCJA003,Chirurgie maxillo-faciale et stomatologie
HMFC004,Gynécologie-obstétrique
HKPA001,Chirurgie digestive
FCFA009,Chirurgie thoracique
HFFC018,Chirurgie digestive
FCFA009,Chirurgie thoracique
NCCA017,Chirurgie orthopédique et traumatologique
JGFE023,Urologie
LFFA002,Chirurgie digestive ; Chirurgie du rachis
HHFA016,Chirurgie digestive
EZCA003,Chirurgie cardiaque ; Chirurgie digestive ; Chirurgie vasculaire
JCGE006,Urologie
DCMA001,Chirurgie de la main
HFFC001,Chirurgie digestive
QEFA019,Oto-rhino-laryngologie (ORL)
QEFA008,Oto-rhino-laryngologie (ORL)
PZMA004,Orthopédie
FCPA001,Chirurgie digestive
JKDC001,Gynécologie-Obstétrique
NGPA002,Neurochirurgie
MEKA002,Chirurgie orthopédique et traumatologique
BAFA006,Ophtalmologie
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
HPPC003,Chirurgie digestive
NBCA006,Chirurgie orthopédique et traumatologique
HGPC015,Chirurgie digestive
HGPC015,Chirurgie digestive
KCFA005,Chirurgie endocrinienne
MEMA012,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
JGFE023,Urologie
JCAE001,Urologie
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
NCPA010,Chirurgie orthopédique et traumatologique
JKFA027,Chirurgie digestive ; Gynécologie-Obstétrique
EGFA003,Chirurgie digestive
HFFC018,Chirurgie digestive
NFMC003,Chirurgie orthopédique et traumatologique
NFKA008,Chirurgie orthopédique et traumatologique
HHFA008,Chirurgie générale
JANE005,Urologie
JJFC010,Gynécologie-Obstétrique
JCGE006,Urologie
JAFC005,Chirurgie digestive
JJPC003,Gynécologie-Obstétrique
DELF005,Cardiologie ; Chirurgie vasculaire
NHDA008,Chirurgie du rachis
ECCA003,Chirurgie cardiaque ; Chirurgie digestive ; Chirurgie vasculaire
MBCA005,Chirurgie orthopédique et traumatologique
JDFE001,Urologie
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
JCAE001,Urologie
NEKA014,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
NEKA011,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HGPA004,Chirurgie digestive
JDJE001,Urologie
GHFA001,Chirurgie thoracique
FCFA009,Chirurgie thoracique
DELF005,Cardiologie ; Chirurgie vasculaire
LMMC015,Chirurgie orthopédique et traumatologique
KCFA005,Chirurgie endocrinienne
LFAA002,Chirurgie digestive ; Chirurgie du rachis
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
LDFA008,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
FCFA009,Chirurgie thoracique
JGFC001,Urologie
HFCC003,Chirurgie digestive
EBFA016,Chirurgie vasculaire
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
DELF005,Cardiologie ; Chirurgie vasculaire
DEKA001,Chirurgie digestive
EBFA016,Chirurgie vasculaire
JKFA020,Chirurgie digestive ; Gynécologie-Obstétrique
JGFA005,Urologie
EGFA001,Chirurgie digestive
JGFE023,Urologie
HMFC004,Gynécologie-obstétrique
JMMA002,Gynécologie-Obstétrique
JKFC001,Gynécologie-Obstétrique
LFFA002,Chirurgie digestive ; Chirurgie du rachis
JKFA024,Chirurgie digestive ; Gynécologie-Obstétrique
LFAA001,Chirurgie digestive ; Chirurgie du rachis
HMLE002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
MCCA008,Chirurgie orthopédique et traumatologique
JGFC001,Urologie
QEKA001,Oto-rhino-laryngologie (ORL)
QEFA008,Oto-rhino-laryngologie (ORL)
QEMA010,Oto-rhino-laryngologie (ORL)
HKPA005,Chirurgie digestive
JDPE001,Urologie
JCGE001,Urologie
LFKA001,Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
NEKA005,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JJFC003,Urologie
FCFA009,Chirurgie thoracique
KCFA005,Chirurgie endocrinienne
QZMA001,Ophtalmologie
KCFA005,Chirurgie endocrinienne
JJFC006,Gynécologie-Obstétrique
JLDA002,Gynécologie-Obstétrique
JDFE003,Urologie
LHCA010,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
JANE005,Urologie
NEFA001,Chirurgie vasculaire
HHFA004,Chirurgie digestive
DELF014,Cardiologie ; Chirurgie vasculaire
FCPA001,Chirurgie digestive
QEFA008,Oto-rhino-laryngologie (ORL)
PZMA004,Orthopédie
EBAF010,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
MEKA006,Chirurgie orthopédique et traumatologique
JKFA028,Chirurgie digestive ; Gynécologie-Obstétrique
NBCA010,Chirurgie orthopédique et traumatologique
JANE002,Urologie
NJMA002,Chirurgie orthopédique et traumatologique
LMMA004,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
LBGA004,Gynécologie-obstétrique
QZFA036,Ophtalmologie
LFFA002,Chirurgie digestive ; Chirurgie du rachis
PDFA001,Chirurgie plastique
JGFE023,Urologie
DELF005,Cardiologie ; Chirurgie vasculaire
KCFA011,Chirurgie générale
JCGE001,Urologie
JJFC010,Gynécologie-Obstétrique
HMFC004,Gynécologie-obstétrique
NEKA005,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
DEKA002,Chirurgie digestive
JAFC008,Urologie
LJCA002,Chirurgie orthopédique et traumatologique
HMFC004,Gynécologie-obstétrique
NCCA016,Chirurgie orthopédique et traumatologique
HMFC004,Gynécologie-obstétrique
DELF005,Cardiologie ; Chirurgie vasculaire
GGPA001,Chirurgie thoracique ; Pneumologie
HHFA027,Chirurgie digestive
HPPC002,Stomatologie
HHFA016,Chirurgie digestive
GFFA009,Chirurgie thoracique
JDFE003,Urologie
HHFA025,Chirurgie digestive
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
HJFA004,Chirurgie digestive
EDFA007,Chirurgie vasculaire
FCPA001,Chirurgie digestive
FCPA001,Chirurgie digestive
QEFA008,Oto-rhino-laryngologie (ORL)
DELF014,Cardiologie ; Chirurgie vasculaire
EEAF006,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
DELF005,Cardiologie ; Chirurgie vasculaire
HMFC004,Gynécologie-obstétrique
JFFC002,Urologie
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
JGFE023,Urologie
HJFA004,Chirurgie digestive
EGFA002,Chirurgie digestive
HFFC002,Chirurgie digestive
JLFA003,Gynécologie-obstétrique
JCGE001,Urologie
NCCA017,Chirurgie orthopédique et traumatologique
MEKA008,Chirurgie orthopédique et traumatologique ; Urologie
JDFE002,Urologie
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
HHFA002,Chirurgie générale
QEFA017,Oto-rhino-laryngologie (ORL)
DELF005,Cardiologie ; Chirurgie vasculaire
JANE002,Urologie
PDFA001,Chirurgie plastique
AHCA020,Chirurgie orthopédique et traumatologique
BFGA427,Ophtalmologie
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
DELF005,Cardiologie ; Chirurgie vasculaire
NBCA010,Chirurgie orthopédique et traumatologique
GFFC005,Chirurgie thoracique
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
HMFC004,Gynécologie-obstétrique
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
KCFA008,Chirurgie endocrinienne
GHFA001,Chirurgie thoracique
KCFA005,Chirurgie endocrinienne
JEFA002,Chirurgie digestive
LDAA001,Chirurgie digestive ; Chirurgie du rachis
JGFE023,Urologie
LHCA010,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
HMFC004,Gynécologie-obstétrique
PAGA009,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
NEKA005,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
DELF005,Cardiologie ; Chirurgie vasculaire
QEMA013,Oto-rhino-laryngologie (ORL)
JDFE001,Urologie
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
QZFA011,Ophtalmologie
JJFC003,Urologie
JJFC006,Gynécologie-Obstétrique
HKSD001,Chirurgie digestive
HPPC002,Stomatologie
HFFC018,Chirurgie digestive
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
JDFE001,Urologie
JDFE001,Urologie
QEFA017,Oto-rhino-laryngologie (ORL)
JANE005,Urologie
DCMA001,Chirurgie de la main
NFFA004,Chirurgie orthopédique et traumatologique
JAFC001,Chirurgie digestive ; Urologie
JDFE001,Urologie
GFFA009,Chirurgie thoracique
HMFC004,Gynécologie-obstétrique
MEKA009,Chirurgie orthopédique et traumatologique
JCAE001,Urologie
NFFC004,Chirurgie orthopédique et traumatologique
HGPA004,Chirurgie digestive
KCFA005,Chirurgie endocrinienne
HFFA008,Chirurgie digestive
MBPA001,Chirurgie orthopédique et traumatologique
KCFA008,Chirurgie endocrinienne
JANE002,Urologie
KCFA008,Chirurgie endocrinienne
JKFA032,Chirurgie digestive ; Gynécologie-Obstétrique
JGFE023,Urologie
JGFE023,Urologie
JDFE001,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HHFA008,Chirurgie générale
CBMA002,ORL et chirurgie cervico-faciale
EEAF006,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
PZMA004,Orthopédie
DELF005,Cardiologie ; Chirurgie vasculaire
JGFE023,Urologie
JKFC001,Gynécologie-Obstétrique
JFFC002,Urologie
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
HHFA008,Chirurgie générale
QEEB152,Oto-rhino-laryngologie (ORL)
DELF005,Cardiologie ; Chirurgie vasculaire
JAFC019,Chirurgie digestive ; Urologie
NFKA008,Chirurgie orthopédique et traumatologique
QEFA008,Oto-rhino-laryngologie (ORL)
JHFA008,Urologie
JDJE001,Urologie
QEGA001,Oto-rhino-laryngologie (ORL)
JDFE001,Urologie
JANE002,Urologie
JKFC005,Chirurgie digestive ; Gynécologie-Obstétrique
NCCA010,Chirurgie orthopédique et traumatologique
NBCA014,Chirurgie orthopédique et traumatologique
MCCA005,Chirurgie orthopédique et traumatologique
HPPC003,Chirurgie digestive
HHFA008,Chirurgie générale
DELF007,Cardiologie ; Chirurgie vasculaire
HMFC004,Gynécologie-obstétrique
JKFA022,Gynécologie-Obstétrique
HMFC004,Gynécologie-obstétrique
HHFA016,Chirurgie digestive
FAFA014,ORL et chirurgie cervico-faciale
HMFC004,Gynécologie-obstétrique
DELF005,Cardiologie ; Chirurgie vasculaire
NHMA002,Chirurgie du rachis
HHFA025,Chirurgie digestive
QEFA008,Oto-rhino-laryngologie (ORL)
HPPC003,Chirurgie digestive
LMMA006,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
HMFC004,Gynécologie-obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HHFA016,Chirurgie digestive
HFFC018,Chirurgie digestive
JGFC001,Urologie
JANE005,Urologie
GGNC001,Chirurgie thoracique
QEGA004,Oto-rhino-laryngologie (ORL)
JANE005,Urologie
JDFA023,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JCNE003,Chirurgie vasculaire ; Urologie
ECNF002,Chirurgie cardiaque ; Chirurgie vasculaire
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JGFE023,Urologie
NEEA002,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
DELF005,Cardiologie ; Chirurgie vasculaire
NBCA003,Chirurgie orthopédique et traumatologique
HMFC004,Gynécologie-obstétrique
NBCA010,Chirurgie orthopédique et traumatologique
QBFA007,ORL et chirurgie cervico-faciale
HCFA008,ORL et chirurgie cervico-faciale
HLFC027,Chirurgie digestive ; Chirurgie thoracique
MCCA011,Chirurgie orthopédique et traumatologique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JDDB007,Gynécologie-Obstétrique
HHFA025,Chirurgie digestive
JGFE023,Urologie
HJFA004,Chirurgie digestive
HMFC004,Gynécologie-obstétrique
NHMA002,Chirurgie du rachis
HJFC031,Chirurgie digestive
PZMA004,Orthopédie
EEAF006,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
FCPA001,Chirurgie digestive
HHFA025,Chirurgie digestive
JDFE001,Urologie
JKFC002,Chirurgie digestive ; Gynécologie-Obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JGFE023,Urologie
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
QZFA014,Ophtalmologie
JGFE023,Urologie
FCPA001,Chirurgie digestive
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
JDFE001,Urologie
NCCA012,Chirurgie orthopédique et traumatologique
JCGE001,Urologie
NJCA001,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
JCGE001,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
DELF005,Cardiologie ; Chirurgie vasculaire
MCCA005,Chirurgie orthopédique et traumatologique
LMMA006,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
KCFA008,Chirurgie endocrinienne
JDDB007,Gynécologie-Obstétrique
KCFA005,Chirurgie endocrinienne
KCFA005,Chirurgie endocrinienne
LDFA008,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
JJFC010,Gynécologie-Obstétrique
NEEA002,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HHFA008,Chirurgie générale
JKFC001,Gynécologie-Obstétrique
HHFA024,Chirurgie générale
JMFA001,Urologie
QZMA004,Ophtalmologie
JKFA022,Gynécologie-Obstétrique
JCNE003,Chirurgie vasculaire ; Urologie
GFFC002,Chirurgie thoracique ; Pneumologie
JBNE004,Urologie
JJFC006,Gynécologie-Obstétrique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JCPD001,Urologie
NBCA005,Chirurgie orthopédique et traumatologique
HHFA016,Chirurgie digestive
MBCA011,Chirurgie orthopédique et traumatologique
JHQA002,Urologie
JHFA006,Chirurgie orthopédique et traumatologique ; Urologie
JGFC001,Urologie
FCPA001,Chirurgie digestive
LDAA001,Chirurgie digestive ; Chirurgie du rachis
HMFC004,Gynécologie-obstétrique
NCCA004,Chirurgie orthopédique et traumatologique
KCFA008,Chirurgie endocrinienne
FCFA009,Chirurgie thoracique
KDQA001,Chirurgie endocrinienne
HHFA016,Chirurgie digestive
JANE002,Urologie
LFAA002,Chirurgie digestive ; Chirurgie du rachis
DELF005,Cardiologie ; Chirurgie vasculaire
QZJA011,Chirurgie digestive
NHDA011,Chirurgie du rachis
HDFA008,ORL et chirurgie cervico-faciale
JKFC001,Gynécologie-Obstétrique
NFJA001,Chirurgie orthopédique et traumatologique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
FCPA001,Chirurgie digestive
HPPC001,Stomatologie
QEFA020,Oto-rhino-laryngologie (ORL)
JDFE002,Urologie
EEAF006,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
LFAA002,Chirurgie digestive ; Chirurgie du rachis
QZJA011,Chirurgie digestive
LDFA008,Chirurgie digestive ; Chirurgie du rachis ; Chirurgie orthopédique et traumatologique
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
JJFC003,Urologie
JJFC003,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JHFA013,Gynécologie-Obstétrique ; Urologie
JKFC002,Chirurgie digestive ; Gynécologie-Obstétrique
PAGA011,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
EEAF006,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
NZFA010,Neurochirurgie
MCCB001,Chirurgie orthopédique et traumatologique
FCFA009,Chirurgie thoracique
KDQA001,Chirurgie endocrinienne
HKPA007,Chirurgie digestive
NELA002,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HMFC004,Gynécologie-obstétrique
FAFA014,ORL et chirurgie cervico-faciale
NDCA003,Chirurgie orthopédique et traumatologique
FCPA001,Chirurgie digestive
FCPA001,Chirurgie digestive
LHMA011,Chirurgie digestive ; Chirurgie du rachis
JJFC003,Urologie
HFFC002,Chirurgie digestive
JGFE023,Urologie
JDFE001,Urologie
HPNC001,Gynécologie-Obstétrique
LFAA002,Chirurgie digestive ; Chirurgie du rachis
GFFC005,Chirurgie thoracique
QZMA001,Ophtalmologie
NCCA016,Chirurgie orthopédique et traumatologique
JCLE002,Chirurgie orthopédique et traumatologique ; Urologie
JCKE002,Chirurgie orthopédique et traumatologique ; Urologie
JCAE001,Urologie
QEKA001,Oto-rhino-laryngologie (ORL)
JANE002,Urologie
JGFE023,Urologie
JCPD001,Urologie
JDFE001,Urologie
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
PDFA001,Chirurgie plastique
JCGE001,Urologie
NDPA011,Chirurgie orthopédique et traumatologique
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
JCAE001,Urologie
JHKA004,Chirurgie orthopédique et traumatologique ; Urologie
NEKA011,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
MCCB004,Chirurgie orthopédique et traumatologique
KCFA008,Chirurgie endocrinienne
JGFE023,Urologie
PDFA001,Chirurgie plastique
HHFA025,Chirurgie digestive
JGFC001,Urologie
QEFA008,Oto-rhino-laryngologie (ORL)
DELF014,Cardiologie ; Chirurgie vasculaire
NDPA011,Chirurgie orthopédique et traumatologique
FCCA001,Chirurgie digestive ; Chirurgie vasculaire
FCPA001,Chirurgie digestive
EBFA016,Chirurgie vasculaire
HFFC002,Chirurgie digestive
JKFA028,Chirurgie digestive ; Gynécologie-Obstétrique
LFFA002,Chirurgie digestive ; Chirurgie du rachis
HPPC003,Chirurgie digestive
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
HMFC004,Gynécologie-obstétrique
JGFE023,Urologie
JCAE001,Urologie
DELF005,Cardiologie ; Chirurgie vasculaire
KDQA001,Chirurgie endocrinienne
KCFA008,Chirurgie endocrinienne
HFMC001,Chirurgie digestive
HPNC001,Gynécologie-Obstétrique
DCMA001,Chirurgie de la main
KCFA008,Chirurgie endocrinienne
LMMC002,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
PZMA004,Orthopédie
PAGA009,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
EBFA016,Chirurgie vasculaire
JGFE023,Urologie
JGFE023,Urologie
NCCA004,Chirurgie orthopédique et traumatologique
JAFC019,Chirurgie digestive ; Urologie
MCCA005,Chirurgie orthopédique et traumatologique
QEFA008,Oto-rhino-laryngologie (ORL)
FCPA001,Chirurgie digestive
LBGA004,Gynécologie-obstétrique
JDFE002,Urologie
PZMA004,Orthopédie
JKFA020,Chirurgie digestive ; Gynécologie-Obstétrique
JCGE006,Urologie
JDFE001,Urologie
JGFE023,Urologie
QAGA004,Chirurgie orthopédique et traumatologique
NEKA004,Chirurgie orthopédique et traumatologique
JKGD002,Gynécologie-Obstétrique
NGFA001,Chirurgie digestive ; Chirurgie orthopédique et traumatologique
JGFC001,Urologie
HGPC015,Chirurgie digestive
NEKA020,Chirurgie orthopédique et traumatologique ; Chirurgie vasculaire
